Loaded 1,068,500 minute candles (2023-02-13 → 2026-02-13)

Running 8 backtests: ch100 ATR×3 RR×3

timeframe,leverage,trades,win_rate,pnl,return_pct,max_dd,sharpe,profit_factor,avg_win,avg_loss,sl_hits,tp_hits,mkt_close,liquidations
1m,20,1766,22.4,-9999,-100.0,100.0,-5.54,0.75,78,-30,1353,340,73,0
  1m-L20: 1766 trades, PnL $-9999, 22.5s
1m,200,2046,21.8,-10000,-100.0,100.0,-4.60,0.74,64,-24,1414,389,78,165
  1m-L200: 2046 trades, PnL $-10000, 26.7s
5m,20,3234,32.6,-775,-7.8,86.4,0.56,1.00,287,-139,2033,622,579,0
  5m-L20: 3234 trades, PnL $-775, 1.6s
5m,200,3615,27.6,-5459,-54.6,92.6,0.27,0.98,243,-95,1135,618,464,1398
  5m-L200: 3615 trades, PnL $-5459, 1.5s
15m,20,1274,36.5,-6406,-64.1,70.0,-0.80,0.92,154,-96,635,140,498,1
  15m-L20: 1274 trades, PnL $-6406, 1.2s
15m,200,1550,27.7,145,1.5,43.8,0.51,1.00,256,-98,115,136,363,936
  15m-L200: 1550 trades, PnL $145, 1.4s
1h,20,501,47.1,1861,18.6,32.2,1.42,1.05,181,-154,151,8,340,2
  1h-L20: 501 trades, PnL $1861, 1.2s
1h,200,681,27.5,187,1.9,30.3,0.55,1.01,177,-67,1,8,219,453
  1h-L200: 681 trades, PnL $187, 1.2s

Done in 57.5s.
